"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"35",571561,"Tony Cingrani","418","8.4","0.314","0.229","0.455","0.543","0.362","0.269","0.224","11","35","90.2","16.4","2268","92.0","93.39","11","34","1","1.4","6.51","108","154","115","149","301","319","298"
"34",543507,"Trevor May","448","7.6","0.188","0.063","0.353","0.250","0.188","0.221","0.185","6","32","83.8","9.7","2215","89.4","90.30","15","34","0","0.9","6.72","107","148","114","145","295","320","290"
"34",552640,"Andrew Kittredge","640","5.3","0.250","0.188","0.250","0.438","0.282","0.351","0.301","8","32","94.9","5.5","2486","86.9","86.69","4","34","0","-0.2","6.17","105","150","113","143","289","318","287"
"34",642008,"Jacob Rhame","515","6.6","0.375","0.313","0.440","0.688","0.444","0.263","0.231","12","32","84.1","13.2","2462","93.2","91.83","3","31","3","-1.4","5.67","110","147","107","145","296","323","299"
"34",519166,"Neil Ramirez","747","4.6","0.242","0.273","0.261","0.515","0.316","0.270","0.209","8","33","85.6","22.2","2365","91.1","90.91","8","34","0","-0.2","6.15","107","149","114","148","290","318","291"
"34",600968,"Randy Rosario","731","4.7","0.088","0.088","0.074","0.176","0.112","0.273","0.238","3","34","91.4","18.3","2007","89.6","87.89","5","33","1","-1.7","5.16","114","152","112","150","301","324","301"
"34",548357,"Christian Bergman","200","17.0","0.182","0.152","0.185","0.333","0.217","0.338","0.275","6","33","89.3","10.5","2049","84.7","82.66","5","34","0","-2.0","4.96","113","162","116","153","289","325","295"
"34",605280,"Clay Holmes","499","6.8","0.353","0.206","0.423","0.559","0.388","0.313","0.313","12","34","93.4","7.3","2178","92.6","92.47","7","34","0","-0.1","6.03","110","152","112","149","295","320","300"
"34",608678,"Dominic Leone","389","8.7","0.258","0.290","0.263","0.548","0.318","0.345","0.265","8","31","92.5","17.1","2343","91.2","91.17","9","32","2","0.0","6.24","109","145","111","148","300","323","300"
"33",605452,"Joe Ross","250","13.2","0.364","0.333","0.357","0.697","0.445","0.300","0.253","12","33","84.7","19.8","1968","91.4","91.91","3","33","0","0.5","6.47","112","156","113","148","306","321","307"
"33",623402,"Tim Peterson","405","8.1","0.364","0.182","0.400","0.545","0.390","0.332","0.294","12","33","84.8","15.2","1947","86.1","85.84","6","33","0","-0.3","5.98","108","146","111","146","296","318","302"
"33",488846,"Brian Duensing","720","4.6","0.161","0.065","0.185","0.226","0.156","0.257","0.220","5","31","85.7","12.2","2193","85.2","84.67","6","33","0","-0.5","5.94","118","150","110","150","296","319","296"
"33",656354,"Austin Davis","615","5.4","0.212","0.212","0.316","0.424","0.265","0.248","0.235","7","33","90.1","17.1","2178","89.0","88.84","12","32","1","-0.2","6.13","111","158","116","151","294","317","294"
"32",543734,"Chris Rusin","873","3.7","0.250","0.188","0.280","0.438","0.289","0.265","0.259","8","32","88.9","7.2","2254","88.2","86.73","3","29","3","-1.5","5.23","113","150","111","144","293","320","295"
"32",541652,"Bruce Rondon","612","5.2","0.313","0.094","0.435","0.406","0.309","0.248","0.241","10","32","87.5","15.3","2161","92.5","92.53","9","32","0","0.0","6.31","108","143","110","142","291","304","286"
"32",592741,"Chasen Shreve","1006","3.2","0.226","0.323","0.182","0.548","0.312","0.363","0.286","7","31","87.4","12.3","1556","85.9","85.27","7","32","0","-0.6","5.88","110","150","109","146","299","320","289"
"31",458584,"Xavier Cedeno","591","5.2","0.194","0.097","0.238","0.290","0.207","0.217","0.215","6","31","90.1","8.0","2578","83.8","82.70","5","27","4","-1.1","5.36","107","150","115","146","296","319","298"
"31",599683,"Warwick Saupold","619","5.0","0.345","0.276","0.348","0.621","0.408","0.328","0.303","10","29","83.5","5.6","2270","87.7","86.64","3","30","1","-1.1","5.70","105","144","107","145","292","314","282"
"31",501822,"Chris Hatcher","648","4.8","0.323","0.226","0.364","0.548","0.370","0.330","0.288","10","31","89.9","10.8","2399","91.8","90.58","7","31","0","-1.2","5.59","110","151","118","151","302","323","301"
"30",605488,"Jeffrey Springs","562","5.3","0.267","0.167","0.318","0.433","0.298","0.278","0.242","8","30","90.5","19.1","1898","87.4","87.80","6","29","1","0.4","6.49","108","155","114","148","297","315","296"
